timestamps,,,,,Marker
1496178845.257,343.680,75.804,930.087,907.588,0
1496178845.257,856.991,182.939,1238.167,783.502,0
1496178845.285,1245.336,516.544,1721.121,1365.492,0
1496178845.285,721.066,398.262,1411.513,1495.911,0
1496178845.285,349.563,78.100,937.428,916.118,0
1496178845.285,859.313,180.332,1231.113,777.843,0
1496178845.287,1248.762,523.500,1722.489,1367.298,0
1496178845.287,740.147,414.441,1417.426,1501.342,0
1496178845.315,345.161,79.981,935.558,911.619,0
1496178845.315,854.141,175.201,1227.115,775.737,0
1496178845.315,1253.339,518.358,1719.984,1363.869,0
1496178845.315,733.785,411.180,1421.177,1495.949,0
1496178845.317,344.925,83.164,929.331,910.441,0
1496178845.317,849.328,174.229,1229.019,775.408,0
1496178845.345,1265.352,526.469,1719.363,1364.639,0
1496178845.345,742.234,414.837,1424.935,1502.415,0
1496178845.345,345.374,82.065,932.189,913.089,0
1496178845.345,852.065,179.094,1229.068,776.781,0
1496178845.347,1260.382,523.268,1715.290,1365.544,0
1496178845.347,739.518,416.038,1420.953,1501.663,0
1496178845.375,343.714,78.186,934.672,916.025,0
1496178845.375,848.071,171.962,1226.547,775.363,0
1496178845.375,1253.048,514.659,1720.141,1365.925,0
1496178845.375,736.096,408.427,1419.023,1500.048,0
1496178845.377,345.767,80.498,930.599,915.670,0
1496178845.377,849.215,174.629,1228.050,778.109,0
1496178845.495,1245.359,511.551,1721.203,1364.141,0
1496178845.495,738.524,411.602,1423.058,1497.172,0
1496178845.496,343.209,73.295,929.055,917.562,0
1496178845.496,844.858,175.841,1232.168,778.632,0
1496178845.496,1253.298,521.967,1724.180,1363.551,0
1496178845.497,749.859,427.104,1419.606,1500.609,0
1496178845.497,342.663,79.245,938.180,918.908,0
1496178845.497,841.459,162.328,1223.424,778.464,0
1496178845.497,1248.665,518.395,1725.736,1360.944,0
1496178845.497,740.177,418.375,1421.457,1497.864,0
1496178845.499,346.115,81.612,929.014,918.744,0
1496178845.499,844.424,177.176,1232.516,785.001,0
1496178845.555,1231.169,503.559,1699.515,1344.137,0
1496178845.555,759.172,427.755,1414.987,1485.828,0
1496178845.555,351.077,82.502,930.064,916.163,0
1496178845.555,812.142,152.051,1221.816,779.429,0
1496178845.556,1229.745,500.309,1704.590,1345.711,0
1496178845.556,748.696,422.650,1410.600,1488.488,0
1496178845.557,354.238,87.955,929.511,912.745,0
1496178845.557,834.409,162.422,1221.700,779.399,0
1496178845.557,1221.928,504.800,1706.602,1345.880,0
1496178845.557,752.313,425.485,1415.668,1484.048,0
1496178845.558,359.818,86.377,929.818,917.252,0
1496178845.558,818.967,158.432,1219.838,779.922,0
1496178845.585,1225.952,499.733,1698.393,1346.732,0
1496178845.585,744.418,420.563,1413.297,1489.482,0
1496178845.585,348.374,86.070,934.657,923.980,0
1496178845.585,809.052,153.012,1224.400,782.884,0
1496178845.587,1213.921,494.807,1707.541,1349.354,0
1496178845.587,737.888,420.660,1419.322,1482.193,0
1496178845.615,349.974,88.666,940.211,921.111,0
1496178845.615,806.719,154.680,1224.198,790.731,0
1496178845.615,1219.520,500.043,1698.393,1342.517,0
1496178845.615,757.762,440.156,1415.709,1486.090,0
1496178845.617,383.383,107.141,929.264,921.152,0
1496178845.617,839.413,176.652,1216.202,780.379,0
1496178845.645,1232.217,502.108,1704.444,1345.494,0
1496178845.645,759.370,423.342,1407.867,1480.899,0
1496178845.645,353.512,98.928,934.593,919.952,0
1496178845.645,822.000,170.983,1226.120,793.270,0
1496178845.647,1226.330,505.769,1705.424,1349.952,0
1496178845.647,751.609,431.801,1411.345,1485.193,0
1496178845.675,358.385,87.379,924.642,909.671,0
1496178845.675,826.933,162.538,1214.878,776.609,0
1496178845.675,1249.719,514.704,1699.889,1345.618,0
1496178845.675,792.378,455.213,1425.410,1495.455,0
1496178845.677,371.019,99.197,935.095,927.211,0
1496178845.677,826.993,165.803,1220.612,780.136,0
1496178845.705,1236.675,508.548,1698.419,1342.813,0
1496178845.705,763.544,437.385,1423.817,1492.313,0
1496178845.705,342.431,78.616,936.725,925.902,0
1496178845.705,774.616,114.641,1212.219,770.543,0
1496178845.707,1197.716,483.535,1692.219,1339.088,0
1496178845.707,740.038,420.095,1408.884,1475.192,0
1496178845.735,354.185,82.439,933.408,917.102,0
1496178845.735,823.993,160.533,1208.502,770.606,0
1496178845.735,1232.647,507.048,1698.532,1340.909,0
1496178845.735,756.236,428.409,1422.056,1496.573,0
1496178845.737,351.537,75.165,927.742,923.157,0
1496178845.737,796.804,131.130,1213.319,781.022,0
1496178845.765,1196.904,482.559,1705.847,1352.361,0
1496178845.765,709.483,400.648,1409.707,1485.223,0
1496178845.765,324.543,69.113,938.232,926.463,0
1496178845.765,793.992,153.775,1217.885,781.452,0
1496178845.767,1206.389,494.953,1721.528,1352.989,0
1496178845.767,740.906,419.841,1435.037,1497.082,0
1496178845.825,318.492,62.961,934.702,918.564,0
1496178845.825,772.918,122.173,1209.044,772.592,0
1496178845.825,1208.910,490.462,1697.264,1339.873,0
1496178845.825,747.709,431.345,1428.627,1491.270,0
1496178845.826,348.478,94.100,938.431,937.312,0
1496178845.826,799.931,156.745,1219.751,779.634,0
1496178845.827,1224.105,507.179,1700.274,1352.024,0
1496178845.827,778.836,448.672,1419.928,1493.039,0
1496178845.827,367.017,94.518,936.340,921.399,0
1496178845.827,809.520,148.898,1220.354,781.089,0
1496178845.829,1230.590,507.284,1694.152,1336.025,0
1496178845.830,772.912,443.085,1428.212,1494.722,0
1496178845.855,349.907,85.307,940.155,931.508,0
1496178845.855,829.629,163.884,1208.319,772.274,0
1496178845.855,1246.922,517.823,1701.157,1345.943,0
1496178845.855,776.742,445.074,1414.935,1490.548,0
1496178845.857,363.501,94.346,925.079,916.780,0
1496178845.857,818.155,148.566,1218.667,780.794,0
1496178845.885,1232.228,507.074,1695.042,1333.141,0
1496178845.885,814.956,465.225,1414.258,1485.320,0
1496178845.885,416.870,128.110,938.726,937.473,0
1496178845.885,849.069,177.397,1216.939,788.528,0
1496178845.887,1256.107,512.639,1712.732,1349.077,0
1496178845.887,794.828,452.861,1416.648,1485.436,0
1496178845.915,379.471,102.982,940.016,933.640,0
1496178845.915,808.061,139.721,1219.452,783.823,0
1496178845.915,1228.888,502.643,1702.178,1344.256,0
1496178845.915,782.344,445.112,1423.623,1484.351,0
1496178845.917,370.929,99.313,953.158,937.918,0
1496178845.917,796.475,147.447,1223.162,790.009,0
1496178846.185,1216.539,500.002,1699.971,1339.686,0
1496178846.185,779.502,443.631,1422.018,1488.604,0
1496178846.185,355.659,89.657,944.355,929.313,0
1496178846.185,791.153,132.357,1215.118,782.279,0
1496178846.186,1208.910,487.473,1687.585,1325.022,0
1496178846.186,782.164,450.527,1426.955,1483.656,0
1496178846.187,364.212,98.023,947.885,934.885,0
1496178846.187,766.481,125.962,1206.546,782.047,0
1496178846.187,1215.024,494.841,1685.696,1329.510,0
1496178846.187,792.419,454.312,1414.999,1480.413,0
1496178846.188,368.756,94.197,944.508,932.776,0
1496178846.188,788.472,132.761,1217.620,780.973,0
1496178846.245,1189.118,154.278,1480.417,622.488,0
1496178846.245,1643.245,535.885,1963.374,1166.450,0
1496178846.246,1221.511,502.338,1695.833,1321.856,0
1496178846.246,779.687,132.035,1222.437,784.358,0
1496178846.246,1188.692,154.181,1481.210,620.124,0
1496178846.246,1639.314,531.834,1963.000,1162.924,0
1496178846.247,1231.164,505.793,1699.300,1324.126,0
1496178846.247,781.123,125.289,1219.714,781.078,0
1496178846.247,1183.044,149.663,1485.799,618.078,0
1496178846.247,1645.070,530.121,1969.878,1159.644,0
1496178846.249,1225.498,500.232,1707.356,1322.316,0
1496178846.249,780.850,126.736,1221.472,785.237,0
1496178846.305,1180.894,144.932,1473.446,614.316,0
1496178846.305,1646.517,537.822,1975.301,1168.272,0
1496178846.305,1227.903,498.620,1704.626,1325.312,0
1496178846.305,768.819,117.880,1214.871,780.914,0
1496178846.306,1180.958,146.918,1475.925,618.938,0
1496178846.306,1649.344,537.377,1967.593,1164.053,0
1496178846.307,1221.833,500.909,1707.154,1327.679,0
1496178846.307,784.205,128.606,1232.430,788.550,0
1496178846.307,1183.890,153.736,1477.096,613.235,0
1496178846.307,1648.215,532.216,1964.493,1164.364,0
1496178846.309,1235.124,503.284,1701.200,1333.409,0
1496178846.309,769.694,120.236,1221.621,784.822,0
1496178846.365,1179.817,145.733,1479.228,617.143,0
1496178846.365,1666.421,548.709,1966.535,1166.458,0
1496178846.365,1241.482,509.563,1705.572,1331.318,0
